Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
95,0.11006,0.23554,0.25392,0.27364,0.29431,0.31552,0.33699,0.35854,0.37981,0.40044,0.42009,0.4384,0.45501,0.46956,0.4817,0.49107,0.49731,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 VBT Relative Risk Table - Male 80% Non-Smoker, Age Last Birthday, Ultimate",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00058,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0006,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00062,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00061,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0006,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00049,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00045,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00043,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00041,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00039,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00045,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0005,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00067,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00077,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00088,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00096,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00101,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00107,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00113,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00121,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00128,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00133,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00138,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00143,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00148,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00155,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00163,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00173,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00187,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00202,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00219,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00237,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00253,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00268,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00283,,,,,,,,,,,,,,,,,,,,,,,,
58,0.003,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00321,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00349,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00385,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00428,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00477,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00531,,,,,,,,,,,,,,,,,,,,,,,,
65,0.0059,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00655,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00726,,,,,,,,,,,,,,,,,,,,,,,,
68,0.00807,,,,,,,,,,,,,,,,,,,,,,,,
69,0.00902,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01016,,,,,,,,,,,,,,,,,,,,,,,,
71,0.01152,,,,,,,,,,,,,,,,,,,,,,,,
72,0.01313,,,,,,,,,,,,,,,,,,,,,,,,
73,0.01502,,,,,,,,,,,,,,,,,,,,,,,,
74,0.01716,,,,,,,,,,,,,,,,,,,,,,,,
75,0.01957,,,,,,,,,,,,,,,,,,,,,,,,
76,0.02224,,,,,,,,,,,,,,,,,,,,,,,,
77,0.02523,,,,,,,,,,,,,,,,,,,,,,,,
78,0.02863,,,,,,,,,,,,,,,,,,,,,,,,
79,0.03256,,,,,,,,,,,,,,,,,,,,,,,,
80,0.03711,,,,,,,,,,,,,,,,,,,,,,,,
81,0.04229,,,,,,,,,,,,,,,,,,,,,,,,
82,0.0482,,,,,,,,,,,,,,,,,,,,,,,,
